year,company,category,market_cap_b_usd,revenue,gross_profit,net_income,earning_per_share,ebitda,shareholder_equity,cash_flow_operating,cash_flow_investing,cash_flow_financing,current_ratio,debt_equity_ratio,roe,roa,roi,net_profit_margin,free_cash_flow_per_share,return_on_tangible_equity,number_of_employees,inflation_rate_us
2022,AAPL,IT,2066.94,394328,170782,99803,6.11,130541,50672,122151,-22354,-110749,0.8794,2.3695,196.9589,28.2924,66.6994,25.3096,1.3146,196.9589,164000,8.0028
2021,AAPL,IT,2913.28,365817,152836,94680,5.61,120233,63090,104038,-14545,-93353,1.0746,1.9768,150.0713,26.9742,54.9839,25.8818,1.3261,150.0713,154000,4.6979
2020,AAPL,IT,2255.97,274515,104956,57411,3.28,77344,65339,80674,-4289,-86820,1.3636,1.7208,87.8664,17.7256,35.0054,20.9136,1.0183,87.8664,147000,1.2336
2019,AAPL,IT,1304.76,260174,98392,55256,2.97,76477,90488,69391,45896,-90976,1.5401,1.194,61.0645,16.323,30.3113,21.2381,-0.0388,61.0645,137000,1.8122
2018,AAPL,IT,748.54,265595,101839,59531,2.98,81801,107147,77434,16066,-87876,1.1329,1.0685,55.5601,16.2775,29.6348,22.4142,0.7414,55.5601,132000,2.4426
2017,AAPL,IT,868.87,229234,88186,48351,2.3025,71501,134047,64225,-46446,-17974,1.2761,0.863,36.0702,12.8826,20.9082,21.0924,0.033,36.0702,123000,2.1301
2016,AAPL,IT,617.59,215639,84263,45687,2.0775,70529,128249,66231,-45977,-20890,1.3527,0.6786,35.6237,14.2024,22.4312,21.1868,-0.5901,38.1906,116000,1.2616
2015,AAPL,IT,586.86,233715,93626,53394,2.305,82487,119355,81266,-56274,-17716,1.1088,0.539,44.7355,18.3899,30.9201,22.8458,0.9743,48.3878,110000,0.1186
2014,AAPL,IT,647.36,182795,70537,39510,1.6125,60449,111547,59713,-22579,-37549,1.0801,0.3164,35.4201,17.042,28.1142,21.6144,0.3032,38.438,97000,1.6222
2013,AAPL,IT,504.79,170910,64304,37037,1.42,55756,123549,53666,-33774,-16379,1.6786,0.1373,29.9776,17.8923,26.3592,21.6705,0.1363,31.4425,84400,1.4648
2012,AAPL,IT,500.61,156508,68662,41733,1.5775,58518,118210,50856,-48227,-1698,1.4958,0,35.3041,23.7033,35.3041,26.6651,0.3394,36.9806,76100,2.0693
2011,AAPL,IT,376.4,108249,43818,25922,0.9886,35604,76615,37529,-40419,1444,1.6084,0,33.8341,22.2753,33.8341,23.9466,0.6278,35.9115,63300,3.1568
2010,AAPL,IT,296.89,65225,25684,14013,0.5411,19412,47791,18595,-13854,1257,2.0113,0,29.3214,18.6385,29.3214,21.4841,0.2857,30.0013,49400,1.64
2009,AAPL,IT,189.8,42905,17222,8235,0.3243,12474,31640,10159,-17434,663,2.7425,0,26.0272,17.3365,26.0272,19.1936,0.355,26.4052,36800,-0.3555
2022,MSFT,IT,1787.73,198270,135620,72738,9.65,97843,166542,89035,-30311,-58876,1.7846,0.2989,43.6755,19.937,34.0575,36.6863,1.2643,82.9207,221000,8.0028
2021,MSFT,IT,2525.08,168088,115856,61271,8.05,81602,141988,76740,-27577,-48486,2.08,0.4095,43.1522,18.3568,31.9017,36.4517,1.4887,72.5298,181000,4.6979
2020,MSFT,IT,1681.61,143015,96937,44281,5.76,65755,118304,60675,-12223,-46031,2.5158,0.5353,37.4298,14.6961,24.8935,30.9625,0.9526,65.2006,163000,1.2336
2019,MSFT,IT,1203.06,125843,82933,39240,5.06,54641,102330,52185,-15773,-36887,2.5288,0.7053,38.3465,13.6937,23.22,31.1817,0.7968,74.6661,144000,1.8122
2018,MSFT,IT,779.67,110360,72007,16571,2.13,45319,82718,43884,-6061,-33590,2.9008,0.9217,20.0331,6.4018,10.6937,15.0154,0.1317,42.5094,131000,2.4426
2017,MSFT,IT,659.91,96571,62310,25489,3.25,37803,87711,39507,-46781,8408,2.9186,0.9827,29.0602,10.1829,15.5626,26.3941,0.8887,59.9981,124000,2.1301
2016,MSFT,IT,483.16,91154,58374,20539,2.56,33330,71997,33325,-23950,-8393,2.3529,0.7425,28.5276,10.6162,18.2481,22.5322,0.2435,40.7585,114000,1.2616
2015,MSFT,IT,443.17,93580,60542,12193,1.48,31616,80083,29668,-23001,-9668,2.4734,0.4407,15.2255,6.9885,11.3012,13.0295,-0.3425,20.911,118000,0.1186
2014,MSFT,IT,382.88,86833,59755,22074,2.63,32971,89784,32502,-18833,-8665,2.504,0.2522,24.5857,12.8051,19.9893,25.4212,0.3152,35.2192,128000,1.6222
2013,MSFT,IT,312.3,77849,57464,21863,2.58,30519,78944,28833,-23811,-8148,2.7118,0.1976,27.6943,15.3499,23.8822,28.0839,-0.5456,35.7204,118000,1.4648
